lastupdate.aqi.level,lastupdate.aqi.aqi,lastupdate.co.unit,lastupdate.co.value,lastupdate.no2.unit,lastupdate.no2.value,lastupdate.o3.unit,lastupdate.o3.value,lastupdate.pm10.unit,lastupdate.pm10.value,lastupdate.pm25.unit,lastupdate.pm25.value,lastupdate.so2.unit,lastupdate.so2.value,lastupdate.date,lastupdate.time,areaen,areath,lat,long,nameen,nameth,stationid,stationtype
4,113,ppm,0.37,ppb,22,ppb,1,µg/m³,128,µg/m³,50,ppb,2,2/9/2019,9:00,"Na Phra Lan, Chaloem Phra Kiat, Saraburi","ต.หน้าพระลาน, อ.เฉลิมพระเกียรติ , สระบุรี",14.687391,100.871228,Na Phralan Police Station ,สถานีตำรวจภูธรตำบลหน้าพระลาน ,24t,GROUND
3,51,ppm,N/A,ppb,9,ppb,8,µg/m³,72,µg/m³,38,ppb,N/A,2/9/2019,9:00,"Pak Phriao, Mueang Saraburi, Saraburi","ต.ปากเพรียว, อ.เมือง, สระบุรี",14.526302,100.926128,Khao Noi Fire Station,สถานีดับเพลิงพระลักษณ์,25t,GROUND
1,25,ppm,N/A,ppb,N/A,ppb,N/A,µg/m³,47,µg/m³,25,ppb,N/A,2/9/2019,9:00,"Aranyaprathet, Aranyaprathet, Sa Kaeo","ต.อรัญประเทศ, อ.อรัญประเทศ, สระแก้ว",13.692122,102.502124,Sriaranyothai Kindergarten,โรงเรียนอนุบาลศรีอรัญโญทัย,71t,GROUND
1,15,ppm,0.41,ppb,5,ppb,3,µg/m³,30,µg/m³,15,ppb,1,2/9/2019,9:00,"Makham Tia, Mueang, Surat Thani","ต.มะขามเตี้ย อ.เมือง, สุราษฎร์ธานี",9.126057,99.325355,"Environment Agency Section 14, Surat Thani",สำนักงานสิ่งแวดล้อมภาคที่ 14,42t,GROUND
2,37,ppm,0.74,ppb,7,ppb,13,µg/m³,39,µg/m³,31,ppb,N/A,2/9/2019,9:00,"Wiang, Meuang, Chiang Rai","ต.เวียง อ.เมือง, เชียงราย",19.909242,99.823357,"Natural Resources and Environment Office, Chiangrai",สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัดเชียงราย,57t,GROUND
1,25,ppm,0.54,ppb,N/A,ppb,20,µg/m³,41,µg/m³,25,ppb,N/A,2/9/2019,9:00,"Wiang Phang Kham, Mae Sai, Chiang Rai","ต.เวียงพางคำ อ.แม่สาย, เชียงราย",20.427234,99.883724,Maesai Health Office,สำนักงานสาธารณสุขแม่สาย,73t,GROUND
1,25,ppm,-,ppb,20,ppb,15,µg/m³,48,µg/m³,25,ppb,1,2/9/2019,9:00,"Chang Phueak, Meuang, Chiang Mai","ต.ช้างเผือก อ.เมือง, เชียงใหม่",18.840633,98.969661,"City Hall, Chiangmai",ศูนย์ราชการจังหวัดเชียงใหม่ ,35t,GROUND
1,23,ppm,0.53,ppb,20,ppb,N/A,µg/m³,35,µg/m³,23,ppb,1,2/9/2019,9:00,"Si Phum, Meuang, Chiang Mai","ต.ศรีภูมิ อ.เมือง, เชียงใหม่",18.7909205,98.9881062,Yupparaj Wittayalai School,โรงเรียนยุพราชวิทยาลัย ,36t,GROUND
1,11,ppm,N/A,ppb,N/A,ppb,N/A,µg/m³,18,µg/m³,11,ppb,N/A,2/9/2019,9:00,"Suthep, Mueang, Chiang Mai","ต.สุเทพ อ.เมือง, เชียงใหม่",18.804718,98.896851,Mobile Air Quality Monitoring unit No.04,พระตำหนักภูพิงคราชนิเวศน์ (รถโมบาย),m101,MOBILE
1,22,ppm,N/A,ppb,N/A,ppb,N/A,µg/m³,35,µg/m³,22,ppb,N/A,2/9/2019,9:00,"Mae Chaem,Chiang Mai","ต.ช่างเคิ่ง อ.แม่แจ่ม,จ.เชียงใหม่",18.4983,98.3649,Mae Chaem Hospital,โรงพยาบาลแม่แจ่ม,m114,MOBILE
4,144,ppm,N/A,ppb,N/A,ppb,N/A,µg/m³,101,µg/m³,68,ppb,N/A,2/9/2019,9:00,"Na An, Mueang, Loei","ต.นาอาน, อ.เมือง, เลย",17.452765,101.728715,"Provincial Health Office, Loei",สำนักงานสาธารณสุขจังหวัดเลย,72t,GROUND
4,172,ppm,0.85,ppb,-,ppb,3,µg/m³,106,µg/m³,79,ppb,-,2/9/2019,9:00,"Na Chak, Meuang, Phrae","ต.นาจักร อ.เมือง, แพร่",18.128928,100.162345,"Meteorology Center, Phrae",อุตุนิยมวิทยาจังหวัดแพร่,69t,GROUND
2,48,ppm,0.4,ppb,3,ppb,7,µg/m³,42,µg/m³,36,ppb,N/A,2/9/2019,9:00,"Chong Kham, Meuang, Mae Hong Son","ต.จองคำ อ.เมือง, แม่ฮ่องสอน",19.304686,97.970999,"Natural Resources and Environment Office, Mae Hongson",สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัดแม่ฮ่องสอน,58t,GROUND
